,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
518,Tel AvivNAyafo,Israel,81.12,39.8,61.66,66.51,92.09,91.23,2016
519,Thane,India,27.73,8.56,18.7,28.16,18.03,60.4,2016
520,The Hague,Netherlands,78.13,40.19,60.27,61.52,87.12,115.14,2016
521,Thessaloniki,Greece,55.41,10.29,34.17,42.73,57.83,61.9,2016
522,Thiruvananthapuram,India,19.55,4.57,12.5,19.83,11.39,81.6,2016
523,Tijuana,Mexico,33.37,8.14,21.49,31.39,30.48,65.27,2016
524,Timisoara,Romania,36.22,9.21,23.5,29.55,27.72,56.42,2016
525,Tirana,Albania,34.66,9.6,22.86,26.61,30.95,37.61,2016
526,Tiruchirapalli (Trichy),India,20.85,3.43,12.65,21.04,10.75,68.68,2016
527,Tokyo,Japan,89.74,43.44,67.94,94.03,55.66,98.09,2016
528,Toronto,Canada,69.5,39.87,55.55,64.79,67.63,124.88,2016
529,Toulouse,France,74.76,25.66,51.64,69.93,77.48,117.27,2016
530,Trento,Italy,70.35,25.17,49.07,61.05,70.96,102.79,2016
531,Treviso,Italy,75.99,19.4,49.34,60.56,83.7,93.54,2016
532,Trieste,Italy,68.7,20.97,46.23,59.26,78.98,94.42,2016
533,Tripoli,Libya,44.68,19.16,32.66,44.03,34.95,51.83,2016
534,Tromso,Norway,118.19,44.22,83.36,99.61,146.08,97.59,2016
535,Trondheim,Norway,111.42,39.76,77.68,100.6,119.82,103.55,2016
536,"Tucson, AZ",United States,62.28,23.34,43.94,61.04,62.63,160.79,2016
537,"Tulsa, OK",United States,67.27,30.82,50.11,71.62,57.75,139.3,2016
538,Tunis,Tunisia,31.18,7.31,19.94,28.86,21.82,39.87,2016
539,Turin,Italy,69.16,21.03,46.5,59.79,71.32,90.07,2016
540,Turku,Finland,79.87,24.08,53.6,66.77,88.98,124.37,2016
541,Ulaanbaatar,Mongolia,61.3,36.64,49.69,60.17,31.83,21.61,2016
542,Uppsala,Sweden,73.69,24.01,50.3,61.77,77.08,123.97,2016
543,Utrecht,Netherlands,75.18,35.05,56.28,61.31,86.41,117.81,2016
544,Vadodara,India,26.1,4.3,15.83,27.59,18.39,76.13,2016
545,Valencia,Spain,53.67,16.79,36.3,43.01,53.14,92.6,2016
546,Valenzuela,Philippines,31.51,3.5,18.32,31.41,15.7,39.19,2016
547,Vancouver,Canada,70.54,45.13,58.58,73.37,66.45,101.38,2016
548,"Vancouver, WA",United States,72.63,32.89,53.92,73.27,64.92,130.92,2016
549,Varna,Bulgaria,36.48,8.0,23.07,31.04,29.62,45.72,2016
550,Venice,Italy,96.27,29.69,64.92,82.43,100.97,68.41,2016
551,Verona,Italy,81.81,24.66,54.9,70.57,80.06,54.12,2016
552,Vicenza,Italy,77.81,19.31,50.27,61.53,77.23,81.46,2016
553,Victoria,Canada,70.56,31.55,52.19,73.34,64.7,111.43,2016
554,Vienna,Austria,67.77,31.97,50.91,59.63,68.95,108.84,2016
555,Vijayawada,India,24.96,4.82,15.48,24.97,12.7,55.64,2016
556,Vilnius,Lithuania,48.62,15.39,32.98,37.79,42.05,57.9,2016
557,Visakhapatnam,India,24.11,5.34,15.27,25.43,14.03,58.98,2016
558,Warsaw,Poland,41.15,19.34,30.88,31.76,35.19,80.18,2016
559,"Washington, DC",United States,95.05,77.54,86.8,89.46,90.81,118.76,2016
560,Waterloo,Canada,79.45,29.89,56.11,76.71,69.21,138.28,2016
561,Wellington,New Zealand,79.47,35.94,58.97,70.41,75.85,129.26,2016
562,"West Palm Beach, FL",United States,81.45,44.94,64.26,85.18,77.06,137.07,2016
